,originalTitle,rating,startYear,runtimeMinutes,numVotes,totalImages,totalCredits,titleType,canHaveEpisodes,numRegions,countryOfOrigin,genres,ratingNum,numGenres,criticReviewsRatio,awardsAndNominations,hasVideos,moreCountriesOfOrigin
29,Kavyaarohan with Momila,"(4, 5]",2020,4.330733340286331,1.791759469228055,0.6931471805599453,2.1972245773362196,tvEpisode,False,0.6931471805599453,['NP'],['Reality-TV'],5,1,0.0,False,False,False
30,A Woman's Help,"(7, 8]",1961,3.4339872044851463,6.0844994130751715,1.3862943611198906,3.1780538303479458,tvEpisode,False,0.6931471805599453,['US'],"['Drama', 'Mystery']",8,2,0.2857142857142857,False,False,False
31,Senjô no nadeshiko,"(4, 5]",1959,4.3694478524670215,2.302585092994046,1.9459101490553132,3.4011973816621555,movie,False,1.0986122886681098,['JP'],['Drama'],5,1,0.0,False,False,False
32,Episode #1.3467,"(6, 7]",2007,3.367295829986474,2.6390573296152584,0.0,3.8066624897703196,tvEpisode,False,2.0794415416798357,['GB'],"['Crime', 'Drama', 'Romance']",7,3,0.0,False,False,False
33,Tørst - Framtidens forbrytelser,"(4, 5]",1999,4.51085950651685,2.1972245773362196,1.0986122886681098,4.454347296253507,movie,False,0.6931471805599453,['NO'],"['Crime', 'Drama']",5,2,0.0,True,False,False
34,Sie und Er,"(7, 8]",1992,5.220355825078324,2.3978952727983707,0.0,3.7612001156935624,tvMovie,False,0.6931471805599453,['DE'],['Drama'],8,1,0.0,True,False,False
35,Hot Shorts: Christy Canyon,"(7, 8]",1986,4.343805421853684,3.044522437723423,0.0,2.302585092994046,video,False,0.6931471805599453,['US'],"['Adult', 'Short']",8,2,0.0,False,False,False
36,Sir Hubert Wilkins & Mary Healy and Peter Lind Hayes,"(8, 9]",1958,3.4339872044851463,3.5553480614894135,1.791759469228055,2.6390573296152584,tvEpisode,False,0.6931471805599453,['US'],"['Family', 'Game-Show']",9,2,0.0,False,False,False
37,Pälsen,"(5, 6]",1966,3.258096538021482,1.791759469228055,0.6931471805599453,2.3978952727983707,tvMovie,False,1.0986122886681098,['SE'],['Drama'],6,1,0.0,False,False,False
38,Pryanik,"(5, 6]",1993,2.3978952727983707,3.332204510175204,1.791759469228055,3.1780538303479458,short,False,1.6094379124341003,['RU'],"['Animation', 'Short']",6,2,0.0,False,False,False
39,Místa,"(5, 6]",2014,4.6913478822291435,4.060443010546419,4.276666119016055,3.8918202981106265,movie,False,1.791759469228055,"['CZ', 'SK']",['Drama'],6,1,0.8571428571428571,False,True,True
40,Giger - tajunnan ydin,"(4, 5]",1992,3.4339872044851463,3.4657359027997265,0.6931471805599453,3.1780538303479458,short,False,1.6094379124341003,['FI'],"['Documentary', 'Short']",5,2,0.0,True,False,False
41,Sands of Time,"(8, 9]",1997,3.258096538021482,3.5263605246161616,0.0,3.091042453358316,tvEpisode,False,0.6931471805599453,['GB'],"['Crime', 'Drama']",9,2,0.0,False,False,False
